41,0.0,达华工程管理（集团）有限公司,181,7,25,杜永林,2000-01-21,5000 万人民币,北京达华国宏投资有限公司,北京达华农业庄园有限责任公司,北京富润信和科技发展有限公司,北京富润信和科技发展有限公司,北京达华恒业咨询有限公司,北京达华国宏咨询中心,烟台中林紫衫新科技有限公司,吉林鑫利工程技术咨询有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.13%,,,,,,,,,,,36.33%,,,,,,,,,,,4.43%,,,,,,,,,,,4.43%,1.91%,1.91%,0.42%,0.42%,,40,,,6079
42,0.0,大唐山东发电有限公司,5,54,33,王英坤,2009-01-09,300000.000000万人民币,中国大唐集团公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
43,0.0,大同煤矿集团有限责任公司,53,387,126,靳华,2008-11-20,1703464.160000万人民币,山西省国有资本投资运营有限公司,中国信达资产管理公司,山西煤炭运销集团有限公司,大同市国资委,朔州市国资委,山西省朔州市矿业公司,忻州市煤炭工业局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17%,,,,,,,,,,,30.12%,,,,,,,,,,,2.06%,,,,,,,,,,,0.89%,0.42%,未公开,未公开,,,21,张有喜,594,10
44,0.0,东方有线网络有限公司,31,19,16,刘九评,1999-06-11,150000.000000万人民币,上海市信息投资股份有限公司,东方明珠新媒体股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.00%,,,,,,,,,,,未公开,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,毛辰,34,63
45,0.0,福建省中禹水利水电工程有限公司,39,159,8,谢传安,2001-12-18,10000.000000万人民币,谢传安,刘莲英,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.96%,,,,,,,,,,,17.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,62
46,0.0,甘南州广汇天然气有限责任公司,6,1,,,2012-03-18,1200.000000万人民币,新疆广汇液化天然气发有限责任公司展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
47,0.0,甘肃省民航航空物流有限责任公司,5,5,1,张同晓,2015-05-15,5000.000000万人民币,甘肃省民航机场集团有限公司,甘肃省民航机场集团有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,未公开,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
48,3.0,葛洲坝集团第五工程有限公司,46,0,8,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,490,4
,PPP项目数,公司名称,分支机构,周边风险,对外投资,总经理,注册时间,注册资本,股东1,股东2,股东3,股东4,股东5,股东6,股东7,股东8,股东9,股东10,股东11,股东12,股东13,股东14,股东15,股东16,股东17,股东18,股东19,股东20,股东21,股东22,股东23,股东24,股东25,股东26,股东27,股东28,股东29,股东30,股东31,股东32,股东33,股东34,股东35,股东36,股东37,股东38,股东39,股东40,股东41,股东42,股东43,股东44,股东45,股东46,股东47,股东48,股东49,股东10持股比例,股东11持股比例,股东12持股比例,股东13持股比例,股东14持股比例,股东15持股比例,股东16持股比例,股东17持股比例,股东18持股比例,股东19持股比例,股东1持股比例,股东20持股比例,股东21持股比例,股东22持股比例,股东23持股比例,股东24持股比例,股东25持股比例,股东26持股比例,股东27持股比例,股东28持股比例,股东29持股比例,股东2持股比例,股东30持股比例,股东31持股比例,股东32持股比例,股东33持股比例,股东34持股比例,股东35持股比例,股东36持股比例,股东37持股比例,股东38持股比例,股东39持股比例,股东3持股比例,股东40持股比例,股东41持股比例,股东42持股比例,股东43持股比例,股东44持股比例,股东45持股比例,股东46持股比例,股东47持股比例,股东48持股比例,股东49持股比例,股东4持股比例,股东5持股比例,股东6持股比例,股东7持股比例,股东8持股比例,股东9持股比例,自身风险,董事长,专利,招投标项目总数
0,3.0,葛洲坝集团第五工程有限公司,46,0,8,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,490,4
1,0.0,广东交通实业投资公司,1,0,2,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
2,0.0,广东省公路建设公司,,0,1,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3,0.0,广东省交通开发公司,,0,3,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
4,8.0,广东省联泰集团有限公司,,29,42,黄婉茹,1993-10-26,100000.000000万人民币,黄建勲,汕头市得成投资有限公司,黄振达,黄婉茹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.47%,,,,,,,,,,,29.53%,,,,,,,,,,,23.33%,,,,,,,,,,,11.67%,,,,,,3,黄建勲,,8
5,0.0,广西大藤峡水利枢纽开发有限责任公司,2,137,,,2009-08-26,160000.000000万人民币,广州华南水资源投资有限公司,广西投资集团有限公司,广西水利电业集团有限公司,广东水电二局股份有限公司,广东省水利电力勘测设计研究院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.00%,,,,,,,,,,,34.00%,,,,,,,,,,,10.00%,,,,,,,,,,,7.00%,3.00%,,,,,0,苏训,,1
6,0.0,广西地凯光伏能源有限公司,,1,,,2010-08-26,1000.000000万人民币,广西地凯防雷工程有限公司,王东生,吕德璇,王晖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.30%,,,,,,,,,,,27.30%,,,,,,,,,,,3.90%,,,,,,,,,,,1.50%,,,,,,0,,,
7,0.0,广西高峰五洲人造板有限公司,,0,,,2009-11-17,19825.000000万人民币,广西华峰林业集团股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
8,0.0,广西集盛食品有限公司,1,10,2,,2005-02-24,3035.445700万人民币,王再兴,深圳市智诚东源投资合伙企业（有限合伙）,车向前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.48%,,,,,,,,,,,23.85%,,,,,,,,,,,3.67%,,,,,,,,,,,,,,,,,29,,,
9,0.0,广西建工集团联合建设有限公司,24,12,4,,2002-10-25,81000.000000万人民币,广西建工集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,陆彪,11,391
10,0.0,广西南宁化学制药有限责任公司,1,23,,王强,1999-04-02,9359.196800万人民币,罗盖特（中国）精细化工有限公司,南宁建宁水务投资集团有限责任公司,南宁产业投资集团有限责任公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.00%,,,,,,,,,,,23.47%,,,,,,,,,,,9.53%,,,,,,,,,,,,,,,,,0,,8,
11,0.0,广西五洲交通股份有限公司,,30,11,,1992-12-31,83380.153200万人民币,广西壮族自治区高速公路管理局,华建交通经济开发中心,社会公众股,广西壮族自治区公路管理局,广西民族经济发展资金管理局,内部职工股,广西壮族自治区运输管理局,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.50%,,,,,,,,,,,19.28%,,,,,,,,,,,18.10%,,,,,,,,,,,14.48%,10.41%,4.98%,2.26%,,,13,,,
12,0.0,广州市京水水务有限公司,,17,2,朱俊杰,2003-06-23,1000万人民币,北京城市排水集团有限责任公司,成鸿,翟晨,钱宁,邹嘉乐,冯岷山,梁俊青,曲哲,邱武勇,李建华,潘云敏,罗蔚文,吴杰仁,彭军,黄宝姗,关泽贤,李国海,曾灿强,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75%,0.75%,0.75%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,,84.00%,,,,,,,,,,,2.65%,,,,,,,,,,,2.55%,,,,,,,,,,,1.20%,1.20%,1.00%,1.00%,1.00%,0.75%,0,朱俊杰,,
13,0.0,桂林市排水有限公司,2,4,1,,1997-11-25,12830.000000万人民币,桂林市经济建设投资总公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,杨侃,,53
14,0.0,桂林橡胶机械厂,5,44,9,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,241,
15,0.0,国电电力酒泉热力有限公司,,0,,,2010-01-08,2233.000000万人民币,国电电力发展股份有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,
16,0.0,国信招标集团股份有限公司,56,33,23,,2001-12-03,15210.608400万人民币,袁炳玉,陆明,马龙滨,唐小平,潘淼,刘丽娜,李继红,刘仁和,陈霞辉,安东,王艳秋,孙悦,丁高峰,唐炜才,郭向新,徐磊,白健夫,刘锋,张沁,吕树斌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42%,0.22%,0.22%,0.18%,0.17%,0.16%,0.16%,0.16%,0.16%,0.16%,6.37%,0.10%,,,,,,,,,,1.78%,,,,,,,,,,,1.74%,,,,,,,,,,,1.70%,0.92%,0.76%,0.57%,0.57%,0.43%,4,翁先定,,6324
17,0.0,邯郸市众信岩土工程有限公司,,0,,郑晓岚,2003-12-09,600.000000万人民币,郑晓岚,赵桂芹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.00%,,,,,,,,,,,20.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,13
18,0.0,和昌（广西）化工有限公司,1,0,,,2003-10-21,20000.000000万人民币,和昌父子有限公司,李木桂,和昌化工有限公司,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.05%,,,,,,,,,,,33.90%,,,,,,,,,,,28.05%,,,,,,,,,,,,,,,,,22,萧光盛,11,
19,0.0,河北出版传媒集团有限责任公司,,618,13,张军良,2009-06-11,3000.000000万人民币,河北省省级文化企业国有资产监督管理领导小组办公室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,杜金卿,,
